  0.50000E-01   0.0000       0.0000       0.0000       0.0000    
  0.10000       0.0000       0.0000       0.0000       0.0000    
  0.15000       0.0000       0.0000       0.0000       0.0000    
  0.20000       0.0000       0.0000       0.0000       0.0000    
  0.25000       0.0000       0.0000       0.0000       0.0000    
  0.30000       0.0000       0.0000       0.0000       0.0000    
  0.35000       0.0000       0.0000       0.0000       0.0000    
  0.40000       0.0000       0.0000       0.0000       0.0000    
  0.45000       0.0000       0.0000       0.0000       0.0000    
  0.50000       0.0000       0.0000       0.0000       0.0000    
  0.55000       0.0000       0.0000       0.0000       0.0000    
  0.60000       0.0000       0.0000       0.0000       0.0000    
  0.65000       0.0000       0.0000       0.0000       0.0000    
  0.70000       0.0000       0.0000       0.0000       0.0000    
  0.75000       0.0000       0.0000       0.0000       0.0000    
  0.80000       0.0000       0.0000       0.0000       0.0000    
  0.85000       0.0000       0.0000       0.0000       0.0000    
  0.90000       0.0000       0.0000       0.0000       0.0000    
  0.95000       0.0000       0.0000       0.0000       0.0000    
   1.0000       0.0000       0.0000       0.0000       0.0000    
   1.0500       0.0000       0.0000       0.0000       0.0000    
   1.1000       0.0000       0.0000       0.0000       0.0000    
   1.1500       0.0000       0.0000       0.0000       0.0000    
   1.2000       0.0000       0.0000       0.0000       0.0000    
   1.2500       0.0000       0.0000       0.0000       0.0000    
   1.3000       0.0000       0.0000       0.0000       0.0000    
   1.3500       0.0000       0.0000       0.0000       0.0000    
   1.4000       0.0000       0.0000       0.0000       0.0000    
   1.4500       0.0000       0.0000       0.0000       0.0000    
   1.5000       0.0000       0.0000       0.0000       0.0000    
   1.5500       0.0000       0.0000       0.0000       0.0000    
   1.6000      0.28958-305  0.16180-312 -0.78725-313 -0.53448-310
   1.6500      0.93277-293  0.54454-300 -0.27577-300 -0.17776-297
   1.7000      0.10002-280  0.60891-288 -0.32027-288 -0.19633-285
   1.7500      0.38054-269  0.24118-276 -0.13149-276 -0.76775-274
   1.8000      0.54433-258  0.35857-265 -0.20228-265 -0.11264-262
   1.8500      0.30850-247  0.21090-254 -0.12290-254 -0.65349-252
   1.9000      0.72667-237  0.51485-244 -0.30946-244 -0.15729-241
   1.9500      0.74315-227  0.54499-234 -0.33740-234 -0.16409-231
   2.0000      0.34344-217  0.26038-224 -0.16582-224 -0.77236-222
   2.0500      0.74407-208  0.58254-215 -0.38115-215 -0.17017-212
   2.1000      0.78169-199  0.63133-206 -0.42393-206 -0.18154-203
   2.1500      0.41083-190  0.34196-197 -0.23541-197 -0.96761-195
   2.2000      0.11117-181  0.95280-189 -0.67182-189 -0.26520-186
   2.2500      0.15908-173  0.14026-180 -0.10121-180 -0.38390-178
   2.3000      0.12338-165  0.11183-172 -0.82510-173 -0.30087-170
   2.3500      0.53075-158  0.49413-165 -0.37250-165 -0.13063-162
   2.4000      0.12935-150  0.12361-157 -0.95149-158 -0.32101-155
   2.4500      0.18218-143  0.17859-150 -0.14028-150 -0.45543-148
   2.5000      0.15106-136  0.15180-143 -0.12161-143 -0.38003-141
   2.5500      0.75020-130  0.77235-137 -0.63075-137 -0.18976-134
   2.6000      0.22676-123  0.23905-130 -0.19893-130 -0.57623-128
   2.6500      0.42349-117  0.45689-124 -0.38728-124 -0.10802-121
