  0.50000E-01   0.0000       0.0000       0.0000       0.0000    
  0.10000      0.23596-252  0.59208-262   0.0000     -0.21008-259
  0.15000      0.49941-201  0.64014-209 -0.99973-210 -0.27545-206
  0.20000      0.57839-173  0.14710-180 -0.53172-181 -0.72966-178
  0.25000      0.17602-152  0.67081-160 -0.40580-160 -0.36949-157
  0.30000      0.31756-136  0.16150-143 -0.14135-143 -0.95990-141
  0.35000      0.99595-123  0.63431-130 -0.73662-130 -0.39766-127
  0.40000      0.33929-111  0.25996-118 -0.37789-118 -0.16878-115
  0.45000      0.38419-101  0.34446-108 -0.60088-108 -0.22819-105
  0.50000      0.30221E-92  0.31075E-99 -0.63007E-99 -0.20750E-96
  0.55000      0.27592E-84  0.32044E-91 -0.73662E-91 -0.21352E-88
  0.60000      0.42430E-77  0.54989E-84 -0.14051E-83 -0.36263E-81
  0.65000      0.14525E-70  0.20806E-77 -0.58164E-77 -0.13486E-74
  0.70000      0.13716E-64  0.21546E-71 -0.65045E-71 -0.13647E-68
  0.75000      0.42284E-59  0.72364E-66 -0.23340E-65 -0.44573E-63
  0.80000      0.48679E-54  0.90271E-61 -0.30831E-60 -0.53845E-58
  0.85000      0.23341E-49  0.46685E-56 -0.16759E-55 -0.26868E-53
  0.90000      0.50980E-45  0.10955E-51 -0.41075E-51 -0.60633E-49
  0.95000      0.54628E-41  0.12569E-47 -0.48965E-47 -0.66708E-45
   1.0000      0.30559E-37  0.75071E-44 -0.30249E-43 -0.38098E-41
   1.0500      0.94032E-34  0.24603E-40 -0.10214E-39 -0.11907E-37
   1.1000      0.16635E-30  0.46261E-37 -0.19722E-36 -0.21295E-34
   1.1500      0.17565E-27  0.51830E-34 -0.22626E-33 -0.22630E-31
   1.2000      0.11429E-24  0.35733E-31 -0.15933E-30 -0.14755E-28
   1.2500      0.47079E-22  0.15578E-28 -0.70794E-28 -0.60638E-26
   1.3000      0.12559E-19  0.43942E-26 -0.20315E-25 -0.16067E-23
   1.3500      0.22110E-17  0.81759E-24 -0.38387E-23 -0.27964E-21
   1.4000      0.26087E-15  0.10193E-21 -0.48530E-21 -0.32453E-19
   1.4500      0.20880E-13  0.86206E-20 -0.41569E-19 -0.25401E-17
   1.5000      0.11439E-11  0.49923E-18 -0.24351E-17 -0.13514E-15
   1.5500      0.43126E-10  0.19914E-16 -0.98156E-16 -0.49075E-14
   1.6000      0.11213E-08  0.54856E-15 -0.27296E-14 -0.12160E-12
   1.6500      0.20068E-07  0.10421E-13 -0.52304E-13 -0.20445E-11
   1.7000      0.24561E-06  0.13576E-12 -0.68665E-12 -0.23040E-10
   1.7500      0.20314E-05  0.11995E-11 -0.61088E-11 -0.17019E-09
   1.8000      0.11152E-04  0.70675E-11 -0.36209E-10 -0.79397E-09
   1.8500      0.39748E-04  0.27170E-10 -0.13987E-09 -0.21989E-08
   1.9000      0.90729E-04  0.66970E-10 -0.34586E-09 -0.32787E-08
   1.9500      0.13907E-03  0.10897E-09 -0.56319E-09 -0.25129E-08
   2.0000      0.17561E-03  0.13924E-09 -0.71898E-09 -0.22300E-08
   2.0500      0.22145E-03  0.17548E-09 -0.90646E-09 -0.28738E-08
   2.1000      0.26111E-03  0.20962E-09 -0.10828E-08 -0.21303E-08
   2.1500      0.30140E-03  0.24106E-09 -0.12450E-08 -0.26446E-08
   2.2000      0.34031E-03  0.27407E-09 -0.14158E-08 -0.20992E-08
   2.2500      0.37765E-03  0.30323E-09 -0.15662E-08 -0.24512E-08
   2.3000      0.41332E-03  0.33320E-09 -0.17211E-08 -0.19547E-08
   2.3500      0.44848E-03  0.36055E-09 -0.18624E-08 -0.22785E-08
   2.4000      0.48010E-03  0.38673E-09 -0.19975E-08 -0.18154E-08
   2.4500      0.51275E-03  0.41237E-09 -0.21301E-08 -0.20052E-08
   2.5000      0.54100E-03  0.43482E-09 -0.22458E-08 -0.17958E-08
   2.5500      0.56968E-03  0.45792E-09 -0.23654E-08 -0.16268E-08
   2.6000      0.59611E-03  0.47800E-09 -0.24690E-08 -0.17679E-08
   2.6500      0.62006E-03  0.49718E-09 -0.25680E-08 -0.14246E-08
   2.7000      0.64420E-03  0.51578E-09 -0.26643E-08 -0.14612E-08
   2.7500      0.66554E-03  0.53174E-09 -0.27465E-08 -0.14630E-08
   2.8000      0.68545E-03  0.54732E-09 -0.28270E-08 -0.11760E-08
   2.8500      0.70514E-03  0.56196E-09 -0.29028E-08 -0.12380E-08
   2.9000      0.72246E-03  0.57447E-09 -0.29672E-08 -0.12222E-08
   2.9500      0.73851E-03  0.58659E-09 -0.30299E-08 -0.97911E-09
   3.0000      0.75437E-03  0.59800E-09 -0.30890E-08 -0.10022E-08
   3.0500      0.76849E-03  0.60767E-09 -0.31387E-08 -0.10364E-08
   3.1000      0.78121E-03  0.61672E-09 -0.31854E-08 -0.83860E-09
   3.1500      0.79378E-03  0.62547E-09 -0.32308E-08 -0.78235E-09
   3.2000      0.80540E-03  0.63293E-09 -0.32693E-08 -0.86247E-09
   3.2500      0.81555E-03  0.63947E-09 -0.33029E-08 -0.76005E-09
   3.3000      0.82529E-03  0.64589E-09 -0.33362E-08 -0.62334E-09
   3.3500      0.83478E-03  0.65168E-09 -0.33662E-08 -0.66851E-09
   3.4000      0.84321E-03  0.65643E-09 -0.33906E-08 -0.69278E-09
   3.4500      0.85077E-03  0.66081E-09 -0.34132E-08 -0.56782E-09
   3.5000      0.85822E-03  0.66510E-09 -0.34354E-08 -0.50081E-09
   3.5500      0.86537E-03  0.66874E-09 -0.34543E-08 -0.56166E-09
   3.6000      0.87165E-03  0.67168E-09 -0.34694E-08 -0.55845E-09
   3.6500      0.87740E-03  0.67446E-09 -0.34837E-08 -0.45190E-09
   3.7000      0.88314E-03  0.67715E-09 -0.34977E-08 -0.41269E-09
   3.7500      0.88864E-03  0.67936E-09 -0.35091E-08 -0.46826E-09
   3.8000      0.89351E-03  0.68104E-09 -0.35177E-08 -0.46824E-09
   3.8500      0.89798E-03  0.68263E-09 -0.35259E-08 -0.38376E-09
   3.9000      0.90247E-03  0.68420E-09 -0.35341E-08 -0.34543E-09
   3.9500      0.90686E-03  0.68544E-09 -0.35405E-08 -0.39050E-09
   4.0000      0.91081E-03  0.68627E-09 -0.35447E-08 -0.40766E-09
   4.0500      0.91441E-03  0.68699E-09 -0.35484E-08 -0.34727E-09
   4.1000      0.91801E-03  0.68775E-09 -0.35524E-08 -0.29928E-09
   4.1500      0.92164E-03  0.68835E-09 -0.35555E-08 -0.32557E-09
   4.2000      0.92501E-03  0.68863E-09 -0.35569E-08 -0.35970E-09
   4.2500      0.92806E-03  0.68875E-09 -0.35575E-08 -0.33009E-09
   4.3000      0.93104E-03  0.68891E-09 -0.35584E-08 -0.27685E-09
   4.3500      0.93411E-03  0.68905E-09 -0.35592E-08 -0.27533E-09
   4.4000      0.93710E-03  0.68898E-09 -0.35588E-08 -0.31260E-09
   4.4500      0.93984E-03  0.68872E-09 -0.35574E-08 -0.31696E-09
   4.5000      0.94244E-03  0.68844E-09 -0.35559E-08 -0.27534E-09
   4.5500      0.94509E-03  0.68822E-09 -0.35548E-08 -0.24732E-09
   4.6000      0.94779E-03  0.68792E-09 -0.35533E-08 -0.26685E-09
   4.6500      0.95038E-03  0.68744E-09 -0.35508E-08 -0.29363E-09
   4.7000      0.95279E-03  0.68688E-09 -0.35478E-08 -0.28079E-09
   4.7500      0.95516E-03  0.68635E-09 -0.35451E-08 -0.24492E-09
   4.8000      0.95761E-03  0.68585E-09 -0.35426E-08 -0.23531E-09
   4.8500      0.96008E-03  0.68526E-09 -0.35395E-08 -0.25884E-09
   4.9000      0.96244E-03  0.68454E-09 -0.35358E-08 -0.27420E-09
   4.9500      0.96469E-03  0.68379E-09 -0.35319E-08 -0.25595E-09
   5.0000      0.96695E-03  0.68309E-09 -0.35283E-08 -0.22907E-09
   5.0500      0.96929E-03  0.68240E-09 -0.35247E-08 -0.22870E-09
   5.1000      0.97162E-03  0.68162E-09 -0.35207E-08 -0.24969E-09
   5.1500      0.97387E-03  0.68076E-09 -0.35162E-08 -0.25781E-09
   5.2000      0.97606E-03  0.67989E-09 -0.35117E-08 -0.24002E-09
   5.2500      0.97827E-03  0.67906E-09 -0.35075E-08 -0.22036E-09
   5.3000      0.98055E-03  0.67823E-09 -0.35032E-08 -0.22329E-09
   5.3500      0.98282E-03  0.67733E-09 -0.34986E-08 -0.24034E-09
   5.4000      0.98503E-03  0.67637E-09 -0.34936E-08 -0.24482E-09
   5.4500      0.98720E-03  0.67542E-09 -0.34886E-08 -0.22963E-09
   5.5000      0.98940E-03  0.67449E-09 -0.34839E-08 -0.21481E-09
   5.5500      0.99166E-03  0.67357E-09 -0.34791E-08 -0.21806E-09
   5.6000      0.99392E-03  0.67259E-09 -0.34741E-08 -0.23143E-09
   5.6500      0.99613E-03  0.67156E-09 -0.34688E-08 -0.23442E-09
   5.7000      0.99832E-03  0.67054E-09 -0.34635E-08 -0.22227E-09
   5.7500      0.10005E-02  0.66954E-09 -0.34583E-08 -0.21060E-09
   5.8000      0.10028E-02  0.66854E-09 -0.34532E-08 -0.21288E-09
   5.8500      0.10051E-02  0.66750E-09 -0.34478E-08 -0.22313E-09
   5.9000      0.10073E-02  0.66642E-09 -0.34422E-08 -0.22565E-09
   5.9500      0.10095E-02  0.66534E-09 -0.34366E-08 -0.21637E-09
   6.0000      0.10118E-02  0.66429E-09 -0.34312E-08 -0.20685E-09
   6.0500      0.10141E-02  0.66323E-09 -0.34257E-08 -0.20780E-09
   6.1000      0.10164E-02  0.66213E-09 -0.34201E-08 -0.21543E-09
   6.1500      0.10187E-02  0.66101E-09 -0.34143E-08 -0.21783E-09
   6.2000      0.10210E-02  0.65989E-09 -0.34085E-08 -0.21102E-09
   6.2500      0.10232E-02  0.65878E-09 -0.34027E-08 -0.20314E-09
   6.3000      0.10256E-02  0.65767E-09 -0.33970E-08 -0.20282E-09
